country_code,country,population
1,Armenia,2947750.0
2,Afghanistan,36723250.0
3,Albania,2883500.0
4,Algeria,41805250.0
7,Angola,30323500.0
8,Antigua and Barbuda,95750.0
9,Argentina,44146750.0
10,Australia,24737250.0
11,Austria,8853250.0
12,Bahamas,383750.0
14,Barbados,286500.0
16,Bangladesh,160521250.0
19,Bolivia (Plurinational State of),11272750.0
20,Botswana,2230750.0
21,Brazil,208629000.0
23,Belize,379250.0
25,Solomon Islands,644500.0
27,Bulgaria,7076500.0
28,Myanmar,53545250.0
29,Burundi,11005242.5
32,Cameroon,24896250.0
33,Canada,36900250.0
35,Cabo Verde,540500.0
37,Central African Republic,4636250.0
38,Sri Lanka,21175500.0
39,Chad,15251000.0
40,Chile,18590000.0
41,"China, mainland",1424125750.0
44,Colombia,49271250.0
45,Comoros,823250.0
46,Congo,5179250.0
48,Costa Rica,4974000.0
49,Cuba,11336250.0
50,Cyprus,1184500.0
52,Azerbaijan,9894750.0
53,Benin,11333250.0
54,Denmark,5741750.0
55,Dominica,71500.0
56,Dominican Republic,10569250.0
57,Belarus,9450250.0
58,Ecuador,16933500.0
59,Egypt,97425500.0
60,El Salvador,6404750.0
63,Estonia,1321250.0
66,Fiji,880500.0
67,Finland,5516000.0
68,France,66353000.0
70,French Polynesia,277000.0
72,Djibouti,951500.0
73,Georgia,4006000.0
74,Gabon,2091250.0
75,Gambia,2247750.0
79,Germany,82873250.0
80,Bosnia and Herzegovina,3340750.0
81,Ghana,29447000.0
83,Kiribati,115250.0
84,Greece,10544750.0
86,Grenada,111000.0
89,Guatemala,17081750.0
90,Guinea,12247750.0
91,Guyana,777000.0
93,Haiti,11052000.0
95,Honduras,9508500.0
96,"China, Hong Kong SAR",7339500.0
97,Hungary,9718750.0
98,Croatia,4169500.0
99,Iceland,335500.0
100,India,1345563500.0
101,Indonesia,266126000.0
102,Iran (Islamic Republic of),81238000.0
103,Iraq,32573500.0
104,Ireland,4787500.0
105,Israel,8313500.0
106,Italy,60628500.0
107,C̫te d'Ivoire,24761500.0
108,Kazakhstan,18195500.0
109,Jamaica,2927500.0
110,Japan,127332000.0
112,Jordan,9851750.0
113,Kyrgyzstan,6246000.0
114,Kenya,50810000.0
115,Cambodia,16128000.0
116,Democratic People's Republic of Korea,25488500.0
117,Republic of Korea,51119000.0
118,Kuwait,4089250.0
119,Latvia,1940000.0
120,Lao People's Democratic Republic,7007500.0
121,Lebanon,6812000.0
122,Lesotho,2100000.0
123,Liberia,4761250.0
124,Libya,6632250.0
126,Lithuania,2824000.0
128,"China, Macao SAR",627000.0
129,Madagascar,25924000.0
130,Malawi,17911750.0
131,Malaysia,31317000.0
132,Maldives,504750.0
133,Mali,18803250.0
134,Malta,438250.0
136,Mauritania,4344000.0
137,Mauritius,1265750.0
138,Mexico,125469250.0
141,Mongolia,3141250.0
143,Morocco,35802000.0
144,Mozambique,29085250.0
146,Republic of Moldova,4055250.0
147,Namibia,2426000.0
149,Nepal,27900250.0
150,Netherlands,17039750.0
153,New Caledonia,278500.0
154,North Macedonia,2082250.0
155,Vanuatu,289250.0
156,New Zealand,4721750.0
157,Nicaragua,6425250.0
158,Niger,22036250.0
159,Nigeria,193418000.0
162,Norway,5316000.0
165,Pakistan,210082500.0
166,Panama,4141750.0
167,Czechia,10653750.0
168,Papua New Guinea,8523000.0
169,Paraguay,6911500.0
170,Peru,31717250.0
171,Philippines,105901250.0
173,Poland,37938000.0
174,Portugal,10274250.0
175,Guinea-Bissau,1851250.0
176,Timor-Leste,1255750.0
181,Zimbabwe,14337750.0
183,Romania,19580250.0
184,Rwanda,12144750.0
185,Russian Federation,145602750.0
188,Saint Kitts and Nevis,52250.0
189,Saint Lucia,181500.0
191,Saint Vincent and the Grenadines,110000.0
193,Sao Tome and Principe,209000.0
194,Saudi Arabia,33379000.0
195,Senegal,15640750.0
196,Seychelles,96750.0
197,Sierra Leone,7570000.0
198,Slovenia,2076750.0
199,Slovakia,5450000.0
202,South Africa,57392250.0
203,Spain,46677750.0
207,Suriname,573000.0
208,Tajikistan,8991500.0
209,Eswatini,1130750.0
210,Sweden,9937250.0
211,Switzerland,8488250.0
212,Syrian Arab Republic,17144250.0
213,Turkmenistan,5803250.0
214,"China, Taiwan Province of",23698250.0
215,United Republic of Tanzania,55506750.0
216,Thailand,69308750.0
217,Togo,7794750.0
220,Trinidad and Tobago,1386750.0
221,Oman,4737250.0
222,Tunisia,11499250.0
223,Turkey,81678500.0
225,United Arab Emirates,9562417.5
226,Uganda,41953750.0
229,United Kingdom of Great Britain and Northern Ireland,66924250.0
230,Ukraine,44360500.0
231,United States of America,326065500.0
233,Burkina Faso,19477750.0
234,Uruguay,3443000.0
235,Uzbekistan,32215000.0
236,Venezuela (Bolivarian Republic of),29164000.0
237,Viet Nam,95062250.0
238,Ethiopia,107826500.0
244,Samoa,195750.0
249,Yemen,28166000.0
250,Democratic Republic of the Congo,82761750.0
251,Zambia,17107500.0
255,Belgium,11448750.0
256,Luxembourg,597750.0
272,Serbia,8814750.0
273,Montenegro,627750.0
276,Sudan,41318750.0
351,China,1455790500.0
